DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,090122,1,QUANTITY_IN_100KG,2023,0.64,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,09019010,1,QUANTITY_IN_100KG,2013,0.18,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,09019010,1,QUANTITY_IN_100KG,2023,0.02,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,09019090,1,QUANTITY_IN_100KG,2013,0.35,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,09019090,1,QUANTITY_IN_100KG,2023,1.23,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,TOTAL,1,QUANTITY_IN_100KG,2013,188219829.42,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,TOTAL,1,QUANTITY_IN_100KG,2023,264067322.74,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AW,TOTAL,1,QUANTITY_IN_100KG,2013,263229.52,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AW,TOTAL,1,QUANTITY_IN_100KG,2023,45179.71,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AZ,090111,1,QUANTITY_IN_100KG,2013,192.00,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AZ,090111,1,QUANTITY_IN_100KG,2023,0.04,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AZ,090121,1,QUANTITY_IN_100KG,2023,0.02,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AZ,TOTAL,1,QUANTITY_IN_100KG,2013,223042277.92,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AZ,TOTAL,1,QUANTITY_IN_100KG,2023,306601659.13,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BA,090111,1,QUANTITY_IN_100KG,2013,30.70,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BA,090111,1,QUANTITY_IN_100KG,2023,0.15,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BA,090112,1,QUANTITY_IN_100KG,2013,5.07,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BA,090121,1,QUANTITY_IN_100KG,2013,3761.57,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BA,090121,1,QUANTITY_IN_100KG,2023,11880.72,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BA,TOTAL,1,QUANTITY_IN_100KG,2013,54885912.07,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BA,TOTAL,1,QUANTITY_IN_100KG,2023,61873585.34,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BB,090121,1,QUANTITY_IN_100KG,2023,0.02,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BB,090122,1,QUANTITY_IN_100KG,2013,0.05,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BB,TOTAL,1,QUANTITY_IN_100KG,2013,74172.64,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BB,TOTAL,1,QUANTITY_IN_100KG,2023,37037.35,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BD,090111,1,QUANTITY_IN_100KG,2013,19.00,
